id,text,department,source
24,The electric meter box near Unit-4 is open and exposed to rain. Safety risk.,Electricity,synthetic
25,Water supply has been cut near Rourkela without any prior notice even after multiple complaints. children are at risk.,Water,synthetic
26,Power cuts in Sishu Bhawan Chowk are lasting more than 6 hours daily for over a week. the situation is getting worse daily.,Electricity,synthetic
27,The traffic signal at Nayapalli crossroad has been dark since last month. Manual control needed.,Traffic,synthetic
28,Large potholes near Brahmapur are causing traffic diversions for three days.,Roads,synthetic
29,Three-wheeler goods vehicles parked on footpath near Cuttack blocking pedestrians.,Traffic,synthetic
30,The road near Unit-6 has a large pothole for two weeks now. children are at risk.,Roads,synthetic
31,Garbage dumping near Acharya Vihar is happening illegally and nobody is stopping it.,Sanitation,synthetic
32,Park near Rourkela has a broken compound wall. Outsiders are misusing it at night.,Parks,synthetic
33,Garbage has not been collected in Aiginia again and again. children are at risk.,Sanitation,synthetic
34,Street lights in Rourkela are on during daytime and off at night still not fixed.,Electricity,synthetic
35,Auto rickshaws are blocking the entire road near Saheed Nagar road every evening.,Traffic,synthetic
36,No drinking water in Cuttack colony repeatedly. Residents are buying water at high cost.,Water,synthetic
37,Electricity transformer near Barmunda has broken down still not fixed. Whole street affected.,Electricity,synthetic
38,Garbage dumping near Rourkela is happening illegally and nobody is stopping it.,Sanitation,synthetic
39,Frequent voltage fluctuations in Patia are damaging our appliances for the past four days.,Electricity,synthetic
40,"Garbage van in IRC Village colony is coming only every 3 days, waste is building up.",Sanitation,synthetic
41,Manhole cover near Sambalpur is broken and open. Very dangerous especially at night.,Sanitation,synthetic
42,Community water tap near Sishu Bhawan Chowk has been broken for over a week. it is a public safety hazard.,Water,synthetic
43,Dirty and foul-smelling water is coming from taps in Kalinga Nagar for three days. please take immediate action.,Water,synthetic
44,The road near Acharya Vihar is full of potholes making two wheelers prone to accidents.,Roads,synthetic
45,Road maintenance work near Rourkela was started but left incomplete for two weeks now.,Roads,synthetic
46,Drainage channel near IRC Village has not been cleaned since Monday. Stagnant water everywhere.,Sanitation,synthetic
47,Manhole cover near Bhubaneswar Old Town is broken and open. Very dangerous especially at night.,Sanitation,synthetic
48,The countdown timer on traffic signal near Acharya Vihar is not working again and again.,Traffic,synthetic
49,Encroachment on road near Vani Vihar has reduced it to one lane causing traffic.,Traffic,synthetic
50,The bridge near Puri has damaged railings. It is very unsafe.,Roads,synthetic
51,Park near Rourkela has a broken compound wall. Outsiders are misusing it at night.,Parks,synthetic
52,Old water pipes in IRC Village are rusting and contaminating drinking water supply.,Water,synthetic
53,The fountain in Aiginia park has not been working for more than a week. It is a public attraction.,Parks,synthetic
54,Broken road tiles near IRC Village are creating hazard for pedestrians again and again.,Roads,synthetic
55,Open defecation is happening near the park in Khandagiri every morning.,Sanitation,synthetic
56,The storm drain near IRC Village is clogged causing flooding during light rain.,Sanitation,synthetic
57,The park near Patia has broken swings and slides. Children are getting injured.,Parks,synthetic
58,Footpath near Rourkela occupied by vendors forcing pedestrians on the road.,Traffic,synthetic
59,The road from Unit-4 to the main highway is in terrible condition.,Roads,synthetic
60,The square near Unit-6 is completely broken with multiple potholes. there could be a serious accident.,Roads,synthetic
61,Power cuts in Puri are lasting more than 6 hours daily still not fixed. daily commuters are suffering.,Electricity,synthetic
62,There is no traffic control at Cuttack during peak hours. Chaos every morning.,Traffic,synthetic
63,Road near Barmunda gets flooded every time it rains due to poor surface drainage.,Roads,synthetic
64,Road near Sambalpur gets flooded every time it rains due to poor surface drainage.,Roads,synthetic
65,Joggers track in Unit-4 park is full of potholes and cracks.,Parks,synthetic
66,The overhead water tank in Master Canteen Square is leaking and overflowing on the road.,Water,synthetic
67,The road divider near Rourkela is broken and there is no barricading. the situation is getting worse daily.,Roads,synthetic
68,Streetlights installed near Puri are not turning on since installation even after multiple complaints.,Electricity,synthetic
69,"The signal near Puri has been blinking yellow for three days, it is chaos at peak hour.",Traffic,synthetic
70,U-turn restriction sign near Barmunda has fallen down for more than a week. Causing confusion.,Traffic,synthetic
71,Night time racing of vehicles near Jaydev Vihar is a serious safety issue. please take immediate action.,Traffic,synthetic
72,The traffic signal at Nayapalli crossroad has been dark still not fixed. Manual control needed.,Traffic,synthetic
73,There is frequent power cut in Unit-6 for the past four days. the whole locality is inconvenienced.,Electricity,synthetic
74,The road surface near Rourkela has completely eroded. Vehicles are getting damaged.,Roads,synthetic
75,Manhole cover near Barmunda is broken and open. Very dangerous especially at night.,Sanitation,synthetic
76,Water supply has been cut near Nayapalli without any prior notice still not fixed. children are at risk.,Water,synthetic
77,Water tanker has not come to Bomikhal for the past four days. Residents are suffering.,Water,synthetic
78,Manhole cover near Vani Vihar is broken and open. Very dangerous especially at night.,Sanitation,synthetic
79,Drainage channel near Tamando has not been cleaned for three days. Stagnant water everywhere.,Sanitation,synthetic
80,Three-wheeler goods vehicles parked on footpath near Rourkela blocking pedestrians.,Traffic,synthetic
81,Three-wheeler goods vehicles parked on footpath near Sambalpur blocking pedestrians.,Traffic,synthetic
82,The electric pole near Cuttack has a loose wire hanging dangerously.,Electricity,synthetic
83,Power outage in Saheed Nagar for over a week. All perishable food is getting wasted.,Electricity,synthetic
84,The park near Brahmapur has broken swings and slides. Children are getting injured.,Parks,synthetic
85,Electricity transformer near Chandrasekharpur has broken down for over a week. Whole street affected.,Electricity,synthetic
86,Garbage near Cuttack nagar has been burning for two days. Air is polluted.,Sanitation,synthetic
87,Overhead electric cable near Brahmapur is sagging very low. Vehicles might touch it.,Electricity,synthetic
88,Water coming from the taps in Rourkela is brown and unfit for drinking. the situation is getting worse daily.,Water,synthetic
89,The overhead water tank in Sishu Bhawan Chowk is leaking and overflowing on the road.,Water,synthetic
90,The electricity distribution box near IRC Village is exposed and unlocked. Danger risk.,Electricity,synthetic
91,Traffic signal poles near Sishu Bhawan Chowk are damaged and wires are hanging out.,Traffic,synthetic
92,Auto rickshaws are blocking the entire road near Brahmapur road every evening.,Traffic,synthetic
93,Garbage collection truck near Vani Vihar is coming once a week instead of daily.,Sanitation,synthetic
94,Open defecation is happening near the park in Nayapalli every morning.,Sanitation,synthetic
95,Water pipeline near Khandagiri has developed multiple leaks causing waterlogging.,Water,synthetic
96,Public toilet near Cuttack is broken and overflowing for three days. please take immediate action.,Sanitation,synthetic
97,Power supply restored after 8 hours but now going off again near Jaydev Vihar. daily commuters are suffering.,Electricity,synthetic
98,There is a huge crater on the main road near Saheed Nagar still not fixed. it is a public safety hazard.,Roads,synthetic
99,U-turn restriction sign near Nayapalli has fallen down repeatedly. Causing confusion.,Traffic,synthetic
100,Trucks are parked illegally overnight on Barmunda square. the situation is getting worse daily.,Traffic,synthetic
101,Road rage incidents near Unit-4 junction are increasing due to no signals.,Traffic,synthetic
102,The underground water pipeline near Chandrasekharpur is broken and water is gushing out.,Water,synthetic
103,Concrete road near Aiginia has developed cracks and is sinking in some areas.,Roads,synthetic
104,Old water pipes in Kalinga Nagar are rusting and contaminating drinking water supply.,Water,synthetic
105,No water supply in our area near Bhubaneswar Old Town since the maintenance work started for over a week.,Water,synthetic
106,Broken road tiles near Aiginia are creating hazard for pedestrians repeatedly.,Roads,synthetic
107,Traffic signal timing near Rourkela is wrong. Green for 5 seconds is too short.,Traffic,synthetic
108,Garden area near Sambalpur is being used for garbage dumping since Monday. there could be a serious accident.,Parks,synthetic
109,The overhead water tank in Puri is leaking and overflowing on the road.,Water,synthetic
110,The park in Aiginia has broken benches and no lights. Unsafe at night.,Parks,synthetic
111,Water supply has been cut near Kalinga Nagar without any prior notice for more than a week. this needs to be fixed immediately.,Water,synthetic
112,Garden area near Unit-4 is being used for garbage dumping still not fixed. please take immediate action.,Parks,synthetic
113,High tension wire near Dumduma is passing very low over the road. Very dangerous.,Electricity,synthetic
114,The water pipe near Cuttack has burst and water is being wasted since last week.,Water,synthetic
115,"Garbage van in Tamando colony is coming only every 3 days, waste is building up.",Sanitation,synthetic
116,The streetlight near Unit-6 has been not working since last month. the situation is getting worse daily.,Electricity,synthetic
117,Old water pipes in Sishu Bhawan Chowk are rusting and contaminating drinking water supply.,Water,synthetic
118,Sewage drain near Jaydev Vihar is blocked and water is overflowing on the road. we have been suffering daily.,Sanitation,synthetic
119,Garbage dumping near Acharya Vihar is happening illegally and nobody is stopping it.,Sanitation,synthetic
120,Road maintenance work near Kalinga Nagar was started but left incomplete for three days.,Roads,synthetic
121,The road in Rasulgarh colony has completely broken down after the monsoon. there could be a serious accident.,Roads,synthetic
122,The park near Chandrasekharpur has broken swings and slides. Children are getting injured.,Parks,synthetic
123,Encroachment on road near Brahmapur has reduced it to one lane causing traffic.,Traffic,synthetic
124,The road near Sishu Bhawan Chowk is completely dark at night and full of potholes. daily commuters are suffering.,Roads,synthetic
125,Broken street light near Rourkela school is causing safety concern for students.,Electricity,synthetic
126,Speed breaker near Puri has no markings and is causing accidents.,Roads,synthetic
127,Sewage drain near Puri is blocked and water is overflowing on the road. urgent attention required.,Sanitation,synthetic
128,The underground water pipeline near IRC Village is broken and water is gushing out.,Water,synthetic
129,The borwell near Barmunda is not working for more than a week. No drinking water available.,Water,synthetic
130,The garbage van has not visited Bomikhal even after multiple complaints. Waste is piling up on the road.,Sanitation,synthetic
131,There is a large pile of garbage near Unit-4 that has not been cleared for more than a week.,Sanitation,synthetic
132,No zebra crossing near Acharya Vihar school. Children risk their life daily. there could be a serious accident.,Traffic,synthetic
133,Water supply timings in Saheed Nagar are erratic. We never know when water will come.,Water,synthetic
134,Park near IRC Village has a broken compound wall. Outsiders are misusing it at night.,Parks,synthetic
135,There is frequent power cut in Rasulgarh since Monday. elderly people are affected.,Electricity,synthetic
136,Park near Nayapalli has a broken compound wall. Outsiders are misusing it at night.,Parks,synthetic
137,Broken street light near Sambalpur school is causing safety concern for students.,Electricity,synthetic
138,The water supply in Khandagiri has been disrupted again and again. this needs to be fixed immediately.,Water,synthetic
139,Sewage is mixing with drinking water supply in Dumduma. Very serious. it is causing inconvenience to residents.,Water,synthetic
140,The road near Bhubaneswar Old Town is full of potholes making two wheelers prone to accidents.,Roads,synthetic
141,Street lights in Unit-6 are on during daytime and off at night even after multiple complaints.,Electricity,synthetic
142,Power supply in Tamando goes off every night for over a week. We face a lot of issues.,Electricity,synthetic
143,There is no traffic control at Tamando during peak hours. Chaos every morning.,Traffic,synthetic
144,The main water supply valve near Dumduma is stuck and causing low pressure issues.,Water,synthetic
145,Water supply timings in IRC Village are erratic. We never know when water will come.,Water,synthetic
146,U-turn restriction sign near Master Canteen Square has fallen down since last week. Causing confusion.,Traffic,synthetic
147,Electric pole in Nayapalli colony is leaning and might fall during rain. it is a public safety hazard.,Electricity,synthetic
148,The bridge near Khandagiri has damaged railings. It is very unsafe.,Roads,synthetic
149,Road maintenance work near Tamando was started but left incomplete for the past four days.,Roads,synthetic
150,Waste dumped near Sishu Bhawan Chowk flyover is attracting stray dogs and creating hazard.,Sanitation,synthetic
151,The electric pole near Rourkela has a loose wire hanging dangerously.,Electricity,synthetic
152,The electric connection to Unit-6 community hall has been disconnected wrongly.,Electricity,synthetic
153,Open garbage dumping is happening near Brahmapur lane. Foul smell everywhere.,Sanitation,synthetic
154,Children's play equipment in Unit-6 park is rusting and dangerous still not fixed.,Parks,synthetic
155,The fountain in Tamando park has not been working for two weeks now. It is a public attraction.,Parks,synthetic
156,The community dustbin near Patia is overflowing again and again. motorists are in danger.,Sanitation,synthetic
157,The road near Unit-6 is full of potholes making two wheelers prone to accidents.,Roads,synthetic
158,Garbage collection workers have not come to IRC Village for over a week. Rats are appearing.,Sanitation,synthetic
159,The bridge near Master Canteen Square has damaged railings. It is very unsafe.,Roads,synthetic
160,The bridge near Bomikhal has damaged railings. It is very unsafe.,Roads,synthetic
161,Water tanker has not come to Bomikhal for the past four days. Residents are suffering.,Water,synthetic
162,Speeding vehicles on Unit-4 lane are a constant threat. Need speed breaker.,Traffic,synthetic
163,Garbage collection workers have not come to Nayapalli for over a week. Rats are appearing.,Sanitation,synthetic
164,Open drainage near Dumduma is breeding mosquitoes. Residents are falling sick.,Sanitation,synthetic
165,No drinking water in Acharya Vihar colony since last week. Residents are buying water at high cost.,Water,synthetic
166,Three-wheeler goods vehicles parked on footpath near Chandrasekharpur blocking pedestrians.,Traffic,synthetic
167,The countdown timer on traffic signal near Jaydev Vihar is not working repeatedly.,Traffic,synthetic
168,High tension wire near Unit-6 is passing very low over the road. Very dangerous.,Electricity,synthetic
169,The footpath on Kalinga Nagar square is broken and dangerous for pedestrians.,Roads,synthetic
170,Children's play equipment in Khandagiri park is rusting and dangerous for two weeks now.,Parks,synthetic
171,Public toilet near Kalinga Nagar is broken and overflowing for over a week. it is a public safety hazard.,Sanitation,synthetic
172,Road near Saheed Nagar has been heavily damaged due to recent digging work since Monday.,Roads,synthetic
173,Construction debris has been dumped on the road near IRC Village again and again. urgent attention required.,Roads,synthetic
174,The road surface near Nayapalli has completely eroded. Vehicles are getting damaged.,Roads,synthetic
175,The transformer near Jaydev Vihar has been making loud noise and sparking since last month.,Electricity,synthetic
176,The road surface near Bhubaneswar Old Town has completely eroded. Vehicles are getting damaged.,Roads,synthetic
177,Garden area near Master Canteen Square is being used for garbage dumping even after multiple complaints. elderly people are affected.,Parks,synthetic
178,Street lights in Puri are on during daytime and off at night for more than a week.,Electricity,synthetic
179,Encroachment on the park in Patia is reducing the open space for residents.,Parks,synthetic
180,School zone near Sishu Bhawan Chowk has no speed limits enforced. Children are in danger. this needs to be fixed immediately.,Traffic,synthetic
181,Power outage in Jaydev Vihar since last week. All perishable food is getting wasted.,Electricity,synthetic
182,Water pipe near Aiginia burst during road construction and has not been repaired.,Water,synthetic
183,Power supply in Khandagiri goes off every night again and again. We face a lot of issues.,Electricity,synthetic
184,High tension wire near Dumduma is passing very low over the road. Very dangerous.,Electricity,synthetic
185,The service road near Cuttack is completely damaged with loose gravel everywhere.,Roads,synthetic
186,Community water tap near Sambalpur has been broken even after multiple complaints. please take immediate action.,Water,synthetic
187,The pedestrian signal near Rourkela is not working since Monday. Pedestrians at risk.,Traffic,synthetic
188,Speed breaker near Khandagiri has no markings and is causing accidents.,Roads,synthetic
189,Heavy vehicles are parked on the main road near Bomikhal still not fixed causing congestion.,Traffic,synthetic
190,High tension wire near Vani Vihar is passing very low over the road. Very dangerous.,Electricity,synthetic
191,Heavy potholes on Patia square are causing accidents since last month.,Roads,synthetic
192,Broken road tiles near Vani Vihar are creating hazard for pedestrians since last month.,Roads,synthetic
193,The road surface near Rasulgarh has completely eroded. Vehicles are getting damaged.,Roads,synthetic
194,The underground water pipeline near Puri is broken and water is gushing out.,Water,synthetic
195,Broken road tiles near Aiginia are creating hazard for pedestrians for the past four days.,Roads,synthetic
196,There is a leaking water main near Khandagiri street. Please fix urgently.,Water,synthetic
197,Sewage is mixing with drinking water supply in Nayapalli. Very serious. please take immediate action.,Water,synthetic
198,The garden near Khandagiri has dead plants that have not been replaced for three days.,Parks,synthetic
199,Public toilet near Barmunda is broken and overflowing since last month. motorists are in danger.,Sanitation,synthetic
200,The overhead water tank in Khandagiri is leaking and overflowing on the road.,Water,synthetic
201,Our electricity bill near Kalinga Nagar has come 3 times higher than normal without reason.,Electricity,synthetic
202,The water meter in our building near Kalinga Nagar is faulty and showing excess usage.,Water,synthetic
203,The countdown timer on traffic signal near Sambalpur is not working even after multiple complaints.,Traffic,synthetic
204,The road near Puri has a large pothole still not fixed. please take immediate action.,Roads,synthetic
205,Water supply has been cut near Acharya Vihar without any prior notice for more than a week. children are at risk.,Water,synthetic
206,Garbage near Sishu Bhawan Chowk colony has been burning for two days. Air is polluted.,Sanitation,synthetic
207,The road near Jaydev Vihar is full of potholes making two wheelers prone to accidents.,Roads,synthetic
208,Stray dogs have occupied the park near Nayapalli. Children cannot play safely.,Parks,synthetic
209,School zone near Aiginia has no speed limits enforced. Children are in danger. please take immediate action.,Traffic,synthetic
210,Power supply fluctuates heavily near Nayapalli causing damage to electronic devices.,Electricity,synthetic
211,Waste dumped near Aiginia flyover is attracting stray dogs and creating hazard.,Sanitation,synthetic
212,The traffic signal at Bhubaneswar Old Town crossroad has been dark since Monday. Manual control needed.,Traffic,synthetic
213,The water meter in our building near Tamando is faulty and showing excess usage.,Water,synthetic
214,Garbage collection workers have not come to Patia again and again. Rats are appearing.,Sanitation,synthetic
215,The garbage van has not visited Unit-4 again and again. Waste is piling up on the road.,Sanitation,synthetic
216,Traffic signal poles near Master Canteen Square are damaged and wires are hanging out.,Traffic,synthetic
217,Water pipe near Master Canteen Square burst during road construction and has not been repaired.,Water,synthetic
218,Power supply in Cuttack goes off every night for over a week. We face a lot of issues.,Electricity,synthetic
219,The fountain in Saheed Nagar park has not been working repeatedly. It is a public attraction.,Parks,synthetic
220,The main water supply valve near Cuttack is stuck and causing low pressure issues.,Water,synthetic
221,The park near Acharya Vihar has not been maintained since last week. Grass is overgrown.,Parks,synthetic
222,Dead animal carcass lying on the road near Puri for three days. Extremely unhygienic.,Sanitation,synthetic
223,The nullah near Unit-4 has not been desilted still not fixed. Flooding is certain this monsoon.,Sanitation,synthetic
224,The pedestrian signal near Acharya Vihar is not working even after multiple complaints. Pedestrians at risk.,Traffic,synthetic
225,The footpath on Khandagiri nagar is broken and dangerous for pedestrians.,Roads,synthetic
226,There is a large pile of garbage near Acharya Vihar that has not been cleared for over a week.,Sanitation,synthetic
227,Garbage has not been collected in Saheed Nagar for over a week. please take immediate action.,Sanitation,synthetic
228,The bridge near Nayapalli has damaged railings. It is very unsafe.,Roads,synthetic
229,Auto rickshaws are blocking the entire road near Patia square every evening.,Traffic,synthetic
230,Drain near Rourkela is choked with plastic waste. Sewage spilling on footpath.,Sanitation,synthetic
231,Water supply timings in IRC Village are erratic. We never know when water will come.,Water,synthetic
232,No drinking water facility in Bhubaneswar Old Town park. Residents request a water tap.,Parks,synthetic
233,Public toilet near Barmunda is broken and overflowing for over a week. this needs to be fixed immediately.,Sanitation,synthetic
234,Electric pole in Bhubaneswar Old Town colony is leaning and might fall during rain. it is causing inconvenience to residents.,Electricity,synthetic
235,Water coming from the taps in Puri is brown and unfit for drinking. it is causing inconvenience to residents.,Water,synthetic
236,The road from Rourkela to the main highway is in terrible condition.,Roads,synthetic
237,Bus stop near Unit-6 has no shelter. Buses also stop in middle of road causing jam.,Traffic,synthetic
238,No water supply in our area near Tamando since the maintenance work started again and again.,Water,synthetic
239,Garden area near Dumduma is being used for garbage dumping since last week. it is causing inconvenience to residents.,Parks,synthetic
240,Dirty and foul-smelling water is coming from taps in Unit-4 since Monday. we have been suffering daily.,Water,synthetic
241,Night time racing of vehicles near Barmunda is a serious safety issue. it is causing inconvenience to residents.,Traffic,synthetic
242,The road in Rasulgarh colony has completely broken down after the monsoon. there could be a serious accident.,Roads,synthetic
243,The underground water pipeline near Cuttack is broken and water is gushing out.,Water,synthetic
244,The road surface near IRC Village has completely eroded. Vehicles are getting damaged.,Roads,synthetic
245,The water pipe near IRC Village has burst and water is being wasted even after multiple complaints.,Water,synthetic
246,Water tanker has not come to Patia since Monday. Residents are suffering.,Water,synthetic
247,The drain near Saheed Nagar is overflowing with sewage for the past four days. motorists are in danger.,Sanitation,synthetic
248,There is a huge crater on the main road near Puri repeatedly. elderly people are affected.,Roads,synthetic
249,Traffic signal poles near Puri are damaged and wires are hanging out.,Traffic,synthetic
250,Power supply fluctuates heavily near Unit-4 causing damage to electronic devices.,Electricity,synthetic
251,Footpath near Vani Vihar occupied by vendors forcing pedestrians on the road.,Traffic,synthetic
252,The road in Bomikhal colony has completely broken down after the monsoon. elderly people are affected.,Roads,synthetic
253,Road near Sambalpur has been heavily damaged due to recent digging work again and again.,Roads,synthetic
254,New electricity connection applied for near Unit-4 but not provided for three days.,Electricity,synthetic
255,The park lights in Sambalpur have been broken for the past four days. Park is unsafe after dark.,Parks,synthetic
256,Community water tap near Unit-4 has been broken for more than a week. the whole locality is inconvenienced.,Water,synthetic
257,Power supply restored after 8 hours but now going off again near Sambalpur. we have been suffering daily.,Electricity,synthetic
258,The electric connection to IRC Village community hall has been disconnected wrongly.,Electricity,synthetic
259,Auto rickshaws are blocking the entire road near Master Canteen Square street every evening.,Traffic,synthetic
260,The main water supply valve near Bhubaneswar Old Town is stuck and causing low pressure issues.,Water,synthetic
261,There is a huge crater on the main road near Bomikhal since Monday. children are at risk.,Roads,synthetic
262,Concrete road near Tamando has developed cracks and is sinking in some areas.,Roads,synthetic
263,Power outage in Sambalpur since last week. All perishable food is getting wasted.,Electricity,synthetic
264,Garden area near Saheed Nagar is being used for garbage dumping even after multiple complaints. it is a public safety hazard.,Parks,synthetic
265,Overhead electric cable near Sishu Bhawan Chowk is sagging very low. Vehicles might touch it.,Electricity,synthetic
266,The electricity distribution box near Bomikhal is exposed and unlocked. Danger risk.,Electricity,synthetic
267,The electric pole near Jaydev Vihar has a loose wire hanging dangerously.,Electricity,synthetic
268,Our electricity bill near Bomikhal has come 3 times higher than normal without reason.,Electricity,synthetic
269,"The signal near Bhubaneswar Old Town has been blinking yellow for three days, it is chaos at peak hour.",Traffic,synthetic
270,Water coming from the taps in IRC Village is brown and unfit for drinking. daily commuters are suffering.,Water,synthetic
271,"Vehicles are parked on both sides of the road near Master Canteen Square, blocking traffic.",Traffic,synthetic
272,Sewage is mixing with drinking water supply in Sambalpur. Very serious. elderly people are affected.,Water,synthetic
273,The park in Khandagiri has broken benches and no lights. Unsafe at night.,Parks,synthetic
274,The streetlight near Barmunda has been not working for two weeks now. we have been suffering daily.,Electricity,synthetic
275,The community dustbin near Cuttack is overflowing for two weeks now. elderly people are affected.,Sanitation,synthetic
276,The bridge near Patia has damaged railings. It is very unsafe.,Roads,synthetic
277,The countdown timer on traffic signal near Brahmapur is not working since last month.,Traffic,synthetic
278,The nullah near Aiginia has not been desilted for the past four days. Flooding is certain this monsoon.,Sanitation,synthetic
279,The park lights in Unit-6 have been broken since Monday. Park is unsafe after dark.,Parks,synthetic
280,Garden area near Unit-4 is being used for garbage dumping for two weeks now. urgent attention required.,Parks,synthetic
281,No road marking or lane discipline near Saheed Nagar. Total traffic disorder.,Traffic,synthetic
282,Water supply timings in Dumduma are erratic. We never know when water will come.,Water,synthetic
283,Garbage near Unit-4 lane has been burning for two days. Air is polluted.,Sanitation,synthetic
284,Road near Bomikhal has been heavily damaged due to recent digging work for the past four days.,Roads,synthetic
285,Power supply in Rasulgarh goes off every night even after multiple complaints. We face a lot of issues.,Electricity,synthetic
286,Power cuts in IRC Village are lasting more than 6 hours daily since Monday. it is a public safety hazard.,Electricity,synthetic
287,There is a large pile of garbage near Rourkela that has not been cleared for more than a week.,Sanitation,synthetic
288,The traffic signal at Cuttack crossroad has been dark for over a week. Manual control needed.,Traffic,synthetic
289,Road cutting work was done near Brahmapur but it has not been repaired since Monday.,Roads,synthetic
290,Water pressure is very low in Master Canteen Square street. We are not getting enough water.,Water,synthetic
291,Sewage is mixing with drinking water supply in Nayapalli. Very serious. it is a public safety hazard.,Water,synthetic
292,Trucks are parked illegally overnight on Kalinga Nagar nagar. children are at risk.,Traffic,synthetic
293,Illegal parking near Acharya Vihar lane is blocking traffic flow completely.,Traffic,synthetic
294,Dead animal carcass lying on the road near Master Canteen Square for the past four days. Extremely unhygienic.,Sanitation,synthetic
295,The electric pole near Puri has a loose wire hanging dangerously.,Electricity,synthetic
296,There is a huge crater on the main road near Sambalpur still not fixed. urgent attention required.,Roads,synthetic
297,The road near Khandagiri is full of potholes making two wheelers prone to accidents.,Roads,synthetic
298,The main arterial road near Kalinga Nagar has not been repaired still not fixed. children are at risk.,Roads,synthetic
299,Stray dogs have occupied the park near Acharya Vihar. Children cannot play safely.,Parks,synthetic
300,The transformer near IRC Village has been making loud noise and sparking since last week.,Electricity,synthetic
301,The lane near Patia is completely broken with multiple potholes. children are at risk.,Roads,synthetic
302,Bus stop near Kalinga Nagar has no shelter. Buses also stop in middle of road causing jam.,Traffic,synthetic
303,Large potholes near Barmunda are causing traffic diversions repeatedly.,Roads,synthetic
304,Broken street light near Master Canteen Square school is causing safety concern for students.,Electricity,synthetic
305,The traffic signal near Tamando has been blinking yellow since last week. daily commuters are suffering.,Traffic,synthetic
306,Water pipe near Sishu Bhawan Chowk burst during road construction and has not been repaired.,Water,synthetic
307,Electric pole in Kalinga Nagar colony is leaning and might fall during rain. this needs to be fixed immediately.,Electricity,synthetic
308,The road near Jaydev Vihar has a large pothole for the past four days. the situation is getting worse daily.,Roads,synthetic
309,Road cutting work was done near Jaydev Vihar but it has not been repaired since last week.,Roads,synthetic
310,There is no traffic signal at the junction near Kalinga Nagar. Accidents are happening.,Traffic,synthetic
311,Road cutting work was done near IRC Village but it has not been repaired for two weeks now.,Roads,synthetic
312,Power outage in Aiginia again and again. All perishable food is getting wasted.,Electricity,synthetic
313,Power cuts in Saheed Nagar are lasting more than 6 hours daily since Monday. motorists are in danger.,Electricity,synthetic
314,Our electricity bill near Master Canteen Square has come 3 times higher than normal without reason.,Electricity,synthetic
315,Dirty and foul-smelling water is coming from taps in Bomikhal since Monday. there could be a serious accident.,Water,synthetic
316,Waste dumped near Saheed Nagar flyover is attracting stray dogs and creating hazard.,Sanitation,synthetic
317,Footpath near Saheed Nagar occupied by vendors forcing pedestrians on the road.,Traffic,synthetic
318,Broken road near Rasulgarh is flooded with water during rains. elderly people are affected.,Roads,synthetic
319,There is a live electric wire lying on the road near Sishu Bhawan Chowk. Very dangerous. this needs to be fixed immediately.,Electricity,synthetic
320,"The signal near Sambalpur has been blinking yellow for three days, it is chaos at peak hour.",Traffic,synthetic
321,Frequent voltage fluctuations in Jaydev Vihar are damaging our appliances repeatedly.,Electricity,synthetic
322,Joggers track in Dumduma park is full of potholes and cracks.,Parks,synthetic
323,The nullah near Bomikhal has not been desilted repeatedly. Flooding is certain this monsoon.,Sanitation,synthetic
