id,text,text_clean,department,source
19,The road in IRC Village colony has completely broken down after the monsoon. the whole locality is inconvenienced.,road irc village colony completely break monsoon locality inconvenience,Roads,synthetic
20,The electric connection to Sambalpur community hall has been disconnected wrongly.,electric connection sambalpur community hall disconnect wrongly,Electricity,synthetic
21,"Garbage van in Jaydev Vihar colony is coming only every 3 days, waste is building up.",garbage van jaydev vihar colony come day waste build,Sanitation,synthetic
22,Potholes on the road to Nayapalli have still not been filled for more than a week. urgent attention required.,pothole road nayapalli not fill week urgent attention require,Roads,synthetic
23,We have not received water supply in IRC Village repeatedly. the situation is getting worse daily.,not receive water supply irc village repeatedly situation get bad daily,Water,synthetic
24,The electric meter box near Unit-4 is open and exposed to rain. Safety risk.,electric meter box unit open expose rain safety risk,Electricity,synthetic
25,Water supply has been cut near Rourkela without any prior notice even after multiple complaints. children are at risk.,water supply cut rourkela prior notice multiple complaint child risk,Water,synthetic
26,Power cuts in Sishu Bhawan Chowk are lasting more than 6 hours daily for over a week. the situation is getting worse daily.,power cut sishu bhawan chowk last hour daily week situation get bad daily,Electricity,synthetic
27,The traffic signal at Nayapalli crossroad has been dark since last month. Manual control needed.,traffic signal nayapalli crossroad dark month manual control need,Traffic,synthetic
28,Large potholes near Brahmapur are causing traffic diversions for three days.,large pothole brahmapur cause traffic diversion day,Roads,synthetic
29,Three-wheeler goods vehicles parked on footpath near Cuttack blocking pedestrians.,wheeler good vehicle park footpath cuttack block pedestrian,Traffic,synthetic
30,The road near Unit-6 has a large pothole for two weeks now. children are at risk.,road unit large pothole week child risk,Roads,synthetic
31,Garbage dumping near Acharya Vihar is happening illegally and nobody is stopping it.,garbage dumping acharya vihar happen illegally stop,Sanitation,synthetic
32,Park near Rourkela has a broken compound wall. Outsiders are misusing it at night.,park rourkela break compound wall outsider misuse night,Parks,synthetic
33,Garbage has not been collected in Aiginia again and again. children are at risk.,garbage not collect aiginia child risk,Sanitation,synthetic
34,Street lights in Rourkela are on during daytime and off at night still not fixed.,street light rourkela daytime night not fix,Electricity,synthetic
35,Auto rickshaws are blocking the entire road near Saheed Nagar road every evening.,auto rickshaw block entire road saheed nagar road evening,Traffic,synthetic
36,No drinking water in Cuttack colony repeatedly. Residents are buying water at high cost.,no drinking water cuttack colony repeatedly resident buy water high cost,Water,synthetic
37,Electricity transformer near Barmunda has broken down still not fixed. Whole street affected.,electricity transformer barmunda break not fix street affect,Electricity,synthetic
38,Garbage dumping near Rourkela is happening illegally and nobody is stopping it.,garbage dumping rourkela happen illegally stop,Sanitation,synthetic
39,Frequent voltage fluctuations in Patia are damaging our appliances for the past four days.,frequent voltage fluctuation patia damage appliance past day,Electricity,synthetic
40,"Garbage van in IRC Village colony is coming only every 3 days, waste is building up.",garbage van irc village colony come day waste build,Sanitation,synthetic
41,Manhole cover near Sambalpur is broken and open. Very dangerous especially at night.,manhole cover sambalpur break open dangerous especially night,Sanitation,synthetic
42,Community water tap near Sishu Bhawan Chowk has been broken for over a week. it is a public safety hazard.,community water tap sishu bhawan chowk break week public safety hazard,Water,synthetic
43,Dirty and foul-smelling water is coming from taps in Kalinga Nagar for three days. please take immediate action.,dirty foul smelling water come tap kalinga nagar day,Water,synthetic
44,The road near Acharya Vihar is full of potholes making two wheelers prone to accidents.,road acharya vihar pothole make wheeler prone accident,Roads,synthetic
45,Road maintenance work near Rourkela was started but left incomplete for two weeks now.,road maintenance work rourkela start leave incomplete week,Roads,synthetic
46,Drainage channel near IRC Village has not been cleaned since Monday. Stagnant water everywhere.,drainage channel irc village not clean monday stagnant water,Sanitation,synthetic
47,Manhole cover near Bhubaneswar Old Town is broken and open. Very dangerous especially at night.,manhole cover bhubaneswar old town break open dangerous especially night,Sanitation,synthetic
48,The countdown timer on traffic signal near Acharya Vihar is not working again and again.,countdown timer traffic signal acharya vihar not work,Traffic,synthetic
49,Encroachment on road near Vani Vihar has reduced it to one lane causing traffic.,encroachment road vani vihar reduce lane cause traffic,Traffic,synthetic
50,The bridge near Puri has damaged railings. It is very unsafe.,bridge puri damage railing unsafe,Roads,synthetic
51,Park near Rourkela has a broken compound wall. Outsiders are misusing it at night.,park rourkela break compound wall outsider misuse night,Parks,synthetic
52,Old water pipes in IRC Village are rusting and contaminating drinking water supply.,old water pipe irc village rusting contaminate drink water supply,Water,synthetic
53,The fountain in Aiginia park has not been working for more than a week. It is a public attraction.,fountain aiginia park not work week public attraction,Parks,synthetic
54,Broken road tiles near IRC Village are creating hazard for pedestrians again and again.,break road tile irc village create hazard pedestrian,Roads,synthetic
55,Open defecation is happening near the park in Khandagiri every morning.,open defecation happen park khandagiri morning,Sanitation,synthetic
56,The storm drain near IRC Village is clogged causing flooding during light rain.,storm drain irc village clog cause flooding light rain,Sanitation,synthetic
57,The park near Patia has broken swings and slides. Children are getting injured.,park patia break swing slide child get injure,Parks,synthetic
58,Footpath near Rourkela occupied by vendors forcing pedestrians on the road.,footpath rourkela occupy vendor force pedestrian road,Traffic,synthetic
59,The road from Unit-4 to the main highway is in terrible condition.,road unit main highway terrible condition,Roads,synthetic
60,The square near Unit-6 is completely broken with multiple potholes. there could be a serious accident.,square unit completely break multiple pothole accident,Roads,synthetic
61,Power cuts in Puri are lasting more than 6 hours daily still not fixed. daily commuters are suffering.,power cut puri last hour daily not fix daily commuter suffer,Electricity,synthetic
62,There is no traffic control at Cuttack during peak hours. Chaos every morning.,no traffic control cuttack peak hour chaos morning,Traffic,synthetic
63,Road near Barmunda gets flooded every time it rains due to poor surface drainage.,road barmunda get flood time rain poor surface drainage,Roads,synthetic
64,Road near Sambalpur gets flooded every time it rains due to poor surface drainage.,road sambalpur get flood time rain poor surface drainage,Roads,synthetic
65,Joggers track in Unit-4 park is full of potholes and cracks.,jogger track unit park pothole crack,Parks,synthetic
66,The overhead water tank in Master Canteen Square is leaking and overflowing on the road.,overhead water tank master canteen square leak overflow road,Water,synthetic
67,The road divider near Rourkela is broken and there is no barricading. the situation is getting worse daily.,road divider rourkela break no barricading situation get bad daily,Roads,synthetic
68,Streetlights installed near Puri are not turning on since installation even after multiple complaints.,streetlight instal puri not turn installation multiple complaint,Electricity,synthetic
69,"The signal near Puri has been blinking yellow for three days, it is chaos at peak hour.",signal puri blink yellow day chaos peak hour,Traffic,synthetic
70,U-turn restriction sign near Barmunda has fallen down for more than a week. Causing confusion.,turn restriction sign barmunda fall week cause confusion,Traffic,synthetic
71,Night time racing of vehicles near Jaydev Vihar is a serious safety issue. please take immediate action.,night time racing vehicle jaydev vihar safety issue,Traffic,synthetic
72,The traffic signal at Nayapalli crossroad has been dark still not fixed. Manual control needed.,traffic signal nayapalli crossroad dark not fix manual control need,Traffic,synthetic
73,There is frequent power cut in Unit-6 for the past four days. the whole locality is inconvenienced.,frequent power cut unit past day locality inconvenience,Electricity,synthetic
74,The road surface near Rourkela has completely eroded. Vehicles are getting damaged.,road surface rourkela completely erode vehicle get damage,Roads,synthetic
75,Manhole cover near Barmunda is broken and open. Very dangerous especially at night.,manhole cover barmunda break open dangerous especially night,Sanitation,synthetic
76,Water supply has been cut near Nayapalli without any prior notice still not fixed. children are at risk.,water supply cut nayapalli prior notice not fix child risk,Water,synthetic
77,Water tanker has not come to Bomikhal for the past four days. Residents are suffering.,water tanker not come bomikhal past day resident suffer,Water,synthetic
78,Manhole cover near Vani Vihar is broken and open. Very dangerous especially at night.,manhole cover vani vihar break open dangerous especially night,Sanitation,synthetic
79,Drainage channel near Tamando has not been cleaned for three days. Stagnant water everywhere.,drainage channel tamando not clean day stagnant water,Sanitation,synthetic
80,Three-wheeler goods vehicles parked on footpath near Rourkela blocking pedestrians.,wheeler good vehicle park footpath rourkela block pedestrian,Traffic,synthetic
81,Three-wheeler goods vehicles parked on footpath near Sambalpur blocking pedestrians.,wheeler good vehicle park footpath sambalpur block pedestrian,Traffic,synthetic
82,The electric pole near Cuttack has a loose wire hanging dangerously.,electric pole cuttack loose wire hang dangerously,Electricity,synthetic
83,Power outage in Saheed Nagar for over a week. All perishable food is getting wasted.,power outage saheed nagar week perishable food get waste,Electricity,synthetic
84,The park near Brahmapur has broken swings and slides. Children are getting injured.,park brahmapur break swing slide child get injure,Parks,synthetic
85,Electricity transformer near Chandrasekharpur has broken down for over a week. Whole street affected.,electricity transformer chandrasekharpur break week street affect,Electricity,synthetic
86,Garbage near Cuttack nagar has been burning for two days. Air is polluted.,garbage cuttack nagar burn day air pollute,Sanitation,synthetic
87,Overhead electric cable near Brahmapur is sagging very low. Vehicles might touch it.,overhead electric cable brahmapur sag low vehicle touch,Electricity,synthetic
88,Water coming from the taps in Rourkela is brown and unfit for drinking. the situation is getting worse daily.,water come tap rourkela brown unfit drink situation get bad daily,Water,synthetic
89,The overhead water tank in Sishu Bhawan Chowk is leaking and overflowing on the road.,overhead water tank sishu bhawan chowk leak overflow road,Water,synthetic
90,The electricity distribution box near IRC Village is exposed and unlocked. Danger risk.,electricity distribution box irc village expose unlocked danger risk,Electricity,synthetic
91,Traffic signal poles near Sishu Bhawan Chowk are damaged and wires are hanging out.,traffic signal pole sishu bhawan chowk damage wire hang,Traffic,synthetic
92,Auto rickshaws are blocking the entire road near Brahmapur road every evening.,auto rickshaw block entire road brahmapur road evening,Traffic,synthetic
93,Garbage collection truck near Vani Vihar is coming once a week instead of daily.,garbage collection truck vani vihar come week instead daily,Sanitation,synthetic
94,Open defecation is happening near the park in Nayapalli every morning.,open defecation happen park nayapalli morning,Sanitation,synthetic
95,Water pipeline near Khandagiri has developed multiple leaks causing waterlogging.,water pipeline khandagiri develop multiple leak cause waterlogging,Water,synthetic
96,Public toilet near Cuttack is broken and overflowing for three days. please take immediate action.,public toilet cuttack break overflow day,Sanitation,synthetic
97,Power supply restored after 8 hours but now going off again near Jaydev Vihar. daily commuters are suffering.,power supply restore hour go jaydev vihar daily commuter suffer,Electricity,synthetic
98,There is a huge crater on the main road near Saheed Nagar still not fixed. it is a public safety hazard.,huge crater main road saheed nagar not fix public safety hazard,Roads,synthetic
99,U-turn restriction sign near Nayapalli has fallen down repeatedly. Causing confusion.,turn restriction sign nayapalli fall repeatedly cause confusion,Traffic,synthetic
100,Trucks are parked illegally overnight on Barmunda square. the situation is getting worse daily.,truck park illegally overnight barmunda square situation get bad daily,Traffic,synthetic
101,Road rage incidents near Unit-4 junction are increasing due to no signals.,road rage incident unit junction increase no signal,Traffic,synthetic
102,The underground water pipeline near Chandrasekharpur is broken and water is gushing out.,underground water pipeline chandrasekharpur break water gush,Water,synthetic
103,Concrete road near Aiginia has developed cracks and is sinking in some areas.,concrete road aiginia develop crack sink area,Roads,synthetic
104,Old water pipes in Kalinga Nagar are rusting and contaminating drinking water supply.,old water pipe kalinga nagar rusting contaminate drink water supply,Water,synthetic
105,No water supply in our area near Bhubaneswar Old Town since the maintenance work started for over a week.,no water supply bhubaneswar old town maintenance work start week,Water,synthetic
106,Broken road tiles near Aiginia are creating hazard for pedestrians repeatedly.,break road tile aiginia create hazard pedestrian repeatedly,Roads,synthetic
107,Traffic signal timing near Rourkela is wrong. Green for 5 seconds is too short.,traffic signal timing rourkela wrong green second short,Traffic,synthetic
108,Garden area near Sambalpur is being used for garbage dumping since Monday. there could be a serious accident.,garden sambalpur garbage dumping monday accident,Parks,synthetic
109,The overhead water tank in Puri is leaking and overflowing on the road.,overhead water tank puri leak overflow road,Water,synthetic
110,The park in Aiginia has broken benches and no lights. Unsafe at night.,park aiginia break bench no light unsafe night,Parks,synthetic
111,Water supply has been cut near Kalinga Nagar without any prior notice for more than a week. this needs to be fixed immediately.,water supply cut kalinga nagar prior notice week need fix immediately,Water,synthetic
112,Garden area near Unit-4 is being used for garbage dumping still not fixed. please take immediate action.,garden unit garbage dumping not fix,Parks,synthetic
113,High tension wire near Dumduma is passing very low over the road. Very dangerous.,high tension wire dumduma pass low road dangerous,Electricity,synthetic
114,The water pipe near Cuttack has burst and water is being wasted since last week.,water pipe cuttack burst water waste week,Water,synthetic
115,"Garbage van in Tamando colony is coming only every 3 days, waste is building up.",garbage van tamando colony come day waste build,Sanitation,synthetic
116,The streetlight near Unit-6 has been not working since last month. the situation is getting worse daily.,streetlight unit not work month situation get bad daily,Electricity,synthetic
117,Old water pipes in Sishu Bhawan Chowk are rusting and contaminating drinking water supply.,old water pipe sishu bhawan chowk rusting contaminate drink water supply,Water,synthetic
118,Sewage drain near Jaydev Vihar is blocked and water is overflowing on the road. we have been suffering daily.,sewage drain jaydev vihar block water overflow road suffer daily,Sanitation,synthetic
119,Garbage dumping near Acharya Vihar is happening illegally and nobody is stopping it.,garbage dumping acharya vihar happen illegally stop,Sanitation,synthetic
120,Road maintenance work near Kalinga Nagar was started but left incomplete for three days.,road maintenance work kalinga nagar start leave incomplete day,Roads,synthetic
121,The road in Rasulgarh colony has completely broken down after the monsoon. there could be a serious accident.,road rasulgarh colony completely break monsoon accident,Roads,synthetic
122,The park near Chandrasekharpur has broken swings and slides. Children are getting injured.,park chandrasekharpur break swing slide child get injure,Parks,synthetic
123,Encroachment on road near Brahmapur has reduced it to one lane causing traffic.,encroachment road brahmapur reduce lane cause traffic,Traffic,synthetic
124,The road near Sishu Bhawan Chowk is completely dark at night and full of potholes. daily commuters are suffering.,road sishu bhawan chowk completely dark night pothole daily commuter suffer,Roads,synthetic
125,Broken street light near Rourkela school is causing safety concern for students.,broken street light rourkela school cause safety concern student,Electricity,synthetic
126,Speed breaker near Puri has no markings and is causing accidents.,speed breaker puri no marking cause accident,Roads,synthetic
127,Sewage drain near Puri is blocked and water is overflowing on the road. urgent attention required.,sewage drain puri block water overflow road urgent attention require,Sanitation,synthetic
128,The underground water pipeline near IRC Village is broken and water is gushing out.,underground water pipeline irc village break water gush,Water,synthetic
129,The borwell near Barmunda is not working for more than a week. No drinking water available.,borwell barmunda not work week no drinking water available,Water,synthetic
130,The garbage van has not visited Bomikhal even after multiple complaints. Waste is piling up on the road.,garbage van not visit bomikhal multiple complaint waste pile road,Sanitation,synthetic
131,There is a large pile of garbage near Unit-4 that has not been cleared for more than a week.,large pile garbage unit not clear week,Sanitation,synthetic
132,No zebra crossing near Acharya Vihar school. Children risk their life daily. there could be a serious accident.,no zebra crossing acharya vihar school child risk life daily accident,Traffic,synthetic
133,Water supply timings in Saheed Nagar are erratic. We never know when water will come.,water supply timing saheed nagar erratic never know water come,Water,synthetic
134,Park near IRC Village has a broken compound wall. Outsiders are misusing it at night.,park irc village break compound wall outsider misuse night,Parks,synthetic
135,There is frequent power cut in Rasulgarh since Monday. elderly people are affected.,frequent power cut rasulgarh monday elderly people affect,Electricity,synthetic
136,Park near Nayapalli has a broken compound wall. Outsiders are misusing it at night.,park nayapalli break compound wall outsider misuse night,Parks,synthetic
137,Broken street light near Sambalpur school is causing safety concern for students.,broken street light sambalpur school cause safety concern student,Electricity,synthetic
138,The water supply in Khandagiri has been disrupted again and again. this needs to be fixed immediately.,water supply khandagiri disrupt need fix immediately,Water,synthetic
139,Sewage is mixing with drinking water supply in Dumduma. Very serious. it is causing inconvenience to residents.,sewage mix drinking water supply dumduma cause inconvenience resident,Water,synthetic
140,The road near Bhubaneswar Old Town is full of potholes making two wheelers prone to accidents.,road bhubaneswar old town pothole make wheeler prone accident,Roads,synthetic
141,Street lights in Unit-6 are on during daytime and off at night even after multiple complaints.,street light unit daytime night multiple complaint,Electricity,synthetic
142,Power supply in Tamando goes off every night for over a week. We face a lot of issues.,power supply tamando go night week face lot issue,Electricity,synthetic
143,There is no traffic control at Tamando during peak hours. Chaos every morning.,no traffic control tamando peak hour chaos morning,Traffic,synthetic
144,The main water supply valve near Dumduma is stuck and causing low pressure issues.,main water supply valve dumduma stuck cause low pressure issue,Water,synthetic
145,Water supply timings in IRC Village are erratic. We never know when water will come.,water supply timing irc village erratic never know water come,Water,synthetic
146,U-turn restriction sign near Master Canteen Square has fallen down since last week. Causing confusion.,turn restriction sign master canteen square fall week cause confusion,Traffic,synthetic
147,Electric pole in Nayapalli colony is leaning and might fall during rain. it is a public safety hazard.,electric pole nayapalli colony lean fall rain public safety hazard,Electricity,synthetic
148,The bridge near Khandagiri has damaged railings. It is very unsafe.,bridge khandagiri damage railing unsafe,Roads,synthetic
149,Road maintenance work near Tamando was started but left incomplete for the past four days.,road maintenance work tamando start leave incomplete past day,Roads,synthetic
150,Waste dumped near Sishu Bhawan Chowk flyover is attracting stray dogs and creating hazard.,waste dump sishu bhawan chowk flyover attract stray dog create hazard,Sanitation,synthetic
151,The electric pole near Rourkela has a loose wire hanging dangerously.,electric pole rourkela loose wire hang dangerously,Electricity,synthetic
152,The electric connection to Unit-6 community hall has been disconnected wrongly.,electric connection unit community hall disconnect wrongly,Electricity,synthetic
153,Open garbage dumping is happening near Brahmapur lane. Foul smell everywhere.,open garbage dumping happen brahmapur lane foul smell,Sanitation,synthetic
154,Children's play equipment in Unit-6 park is rusting and dangerous still not fixed.,child play equipment unit park rusting dangerous not fix,Parks,synthetic
155,The fountain in Tamando park has not been working for two weeks now. It is a public attraction.,fountain tamando park not work week public attraction,Parks,synthetic
156,The community dustbin near Patia is overflowing again and again. motorists are in danger.,community dustbin patia overflow motorist danger,Sanitation,synthetic
157,The road near Unit-6 is full of potholes making two wheelers prone to accidents.,road unit pothole make wheeler prone accident,Roads,synthetic
158,Garbage collection workers have not come to IRC Village for over a week. Rats are appearing.,garbage collection worker not come irc village week rat appear,Sanitation,synthetic
159,The bridge near Master Canteen Square has damaged railings. It is very unsafe.,bridge master canteen square damage railing unsafe,Roads,synthetic
160,The bridge near Bomikhal has damaged railings. It is very unsafe.,bridge bomikhal damage railing unsafe,Roads,synthetic
161,Water tanker has not come to Bomikhal for the past four days. Residents are suffering.,water tanker not come bomikhal past day resident suffer,Water,synthetic
162,Speeding vehicles on Unit-4 lane are a constant threat. Need speed breaker.,speed vehicle unit lane constant threat need speed breaker,Traffic,synthetic
163,Garbage collection workers have not come to Nayapalli for over a week. Rats are appearing.,garbage collection worker not come nayapalli week rat appear,Sanitation,synthetic
164,Open drainage near Dumduma is breeding mosquitoes. Residents are falling sick.,open drainage dumduma breed mosquito resident fall sick,Sanitation,synthetic
165,No drinking water in Acharya Vihar colony since last week. Residents are buying water at high cost.,no drinking water acharya vihar colony week resident buy water high cost,Water,synthetic
166,Three-wheeler goods vehicles parked on footpath near Chandrasekharpur blocking pedestrians.,wheeler good vehicle park footpath chandrasekharpur block pedestrian,Traffic,synthetic
167,The countdown timer on traffic signal near Jaydev Vihar is not working repeatedly.,countdown timer traffic signal jaydev vihar not work repeatedly,Traffic,synthetic
168,High tension wire near Unit-6 is passing very low over the road. Very dangerous.,high tension wire unit pass low road dangerous,Electricity,synthetic
169,The footpath on Kalinga Nagar square is broken and dangerous for pedestrians.,footpath kalinga nagar square break dangerous pedestrian,Roads,synthetic
170,Children's play equipment in Khandagiri park is rusting and dangerous for two weeks now.,child play equipment khandagiri park rusting dangerous week,Parks,synthetic
171,Public toilet near Kalinga Nagar is broken and overflowing for over a week. it is a public safety hazard.,public toilet kalinga nagar break overflow week public safety hazard,Sanitation,synthetic
172,Road near Saheed Nagar has been heavily damaged due to recent digging work since Monday.,road saheed nagar heavily damage recent digging work monday,Roads,synthetic
173,Construction debris has been dumped on the road near IRC Village again and again. urgent attention required.,construction debris dump road irc village urgent attention require,Roads,synthetic
174,The road surface near Nayapalli has completely eroded. Vehicles are getting damaged.,road surface nayapalli completely erode vehicle get damage,Roads,synthetic
175,The transformer near Jaydev Vihar has been making loud noise and sparking since last month.,transformer jaydev vihar make loud noise spark month,Electricity,synthetic
176,The road surface near Bhubaneswar Old Town has completely eroded. Vehicles are getting damaged.,road surface bhubaneswar old town completely erode vehicle get damage,Roads,synthetic
177,Garden area near Master Canteen Square is being used for garbage dumping even after multiple complaints. elderly people are affected.,garden master canteen square garbage dump multiple complaint elderly people affect,Parks,synthetic
178,Street lights in Puri are on during daytime and off at night for more than a week.,street light puri daytime night week,Electricity,synthetic
179,Encroachment on the park in Patia is reducing the open space for residents.,encroachment park patia reduce open space resident,Parks,synthetic
180,School zone near Sishu Bhawan Chowk has no speed limits enforced. Children are in danger. this needs to be fixed immediately.,school zone sishu bhawan chowk no speed limit enforce child danger need fix immediately,Traffic,synthetic
181,Power outage in Jaydev Vihar since last week. All perishable food is getting wasted.,power outage jaydev vihar week perishable food get waste,Electricity,synthetic
182,Water pipe near Aiginia burst during road construction and has not been repaired.,water pipe aiginia burst road construction not repair,Water,synthetic
183,Power supply in Khandagiri goes off every night again and again. We face a lot of issues.,power supply khandagiri go night face lot issue,Electricity,synthetic
184,High tension wire near Dumduma is passing very low over the road. Very dangerous.,high tension wire dumduma pass low road dangerous,Electricity,synthetic
185,The service road near Cuttack is completely damaged with loose gravel everywhere.,service road cuttack completely damage loose gravel,Roads,synthetic
186,Community water tap near Sambalpur has been broken even after multiple complaints. please take immediate action.,community water tap sambalpur break multiple complaint,Water,synthetic
187,The pedestrian signal near Rourkela is not working since Monday. Pedestrians at risk.,pedestrian signal rourkela not work monday pedestrian risk,Traffic,synthetic
188,Speed breaker near Khandagiri has no markings and is causing accidents.,speed breaker khandagiri no marking cause accident,Roads,synthetic
189,Heavy vehicles are parked on the main road near Bomikhal still not fixed causing congestion.,heavy vehicle park main road bomikhal not fix cause congestion,Traffic,synthetic
190,High tension wire near Vani Vihar is passing very low over the road. Very dangerous.,high tension wire vani vihar pass low road dangerous,Electricity,synthetic
191,Heavy potholes on Patia square are causing accidents since last month.,heavy pothole patia square cause accident month,Roads,synthetic
192,Broken road tiles near Vani Vihar are creating hazard for pedestrians since last month.,break road tile vani vihar create hazard pedestrian month,Roads,synthetic
193,The road surface near Rasulgarh has completely eroded. Vehicles are getting damaged.,road surface rasulgarh completely erode vehicle get damage,Roads,synthetic
194,The underground water pipeline near Puri is broken and water is gushing out.,underground water pipeline puri break water gush,Water,synthetic
195,Broken road tiles near Aiginia are creating hazard for pedestrians for the past four days.,break road tile aiginia create hazard pedestrian past day,Roads,synthetic
196,There is a leaking water main near Khandagiri street. Please fix urgently.,leak water main khandagiri street fix urgently,Water,synthetic
197,Sewage is mixing with drinking water supply in Nayapalli. Very serious. please take immediate action.,sewage mix drinking water supply nayapalli,Water,synthetic
198,The garden near Khandagiri has dead plants that have not been replaced for three days.,garden khandagiri dead plant not replace day,Parks,synthetic
199,Public toilet near Barmunda is broken and overflowing since last month. motorists are in danger.,public toilet barmunda break overflowing month motorist danger,Sanitation,synthetic
200,The overhead water tank in Khandagiri is leaking and overflowing on the road.,overhead water tank khandagiri leak overflow road,Water,synthetic
201,Our electricity bill near Kalinga Nagar has come 3 times higher than normal without reason.,electricity bill kalinga nagar come time high normal reason,Electricity,synthetic
202,The water meter in our building near Kalinga Nagar is faulty and showing excess usage.,water meter building kalinga nagar faulty show excess usage,Water,synthetic
203,The countdown timer on traffic signal near Sambalpur is not working even after multiple complaints.,countdown timer traffic signal sambalpur not work multiple complaint,Traffic,synthetic
204,The road near Puri has a large pothole still not fixed. please take immediate action.,road puri large pothole not fix,Roads,synthetic
205,Water supply has been cut near Acharya Vihar without any prior notice for more than a week. children are at risk.,water supply cut acharya vihar prior notice week child risk,Water,synthetic
206,Garbage near Sishu Bhawan Chowk colony has been burning for two days. Air is polluted.,garbage sishu bhawan chowk colony burn day air pollute,Sanitation,synthetic
207,The road near Jaydev Vihar is full of potholes making two wheelers prone to accidents.,road jaydev vihar pothole make wheeler prone accident,Roads,synthetic
208,Stray dogs have occupied the park near Nayapalli. Children cannot play safely.,stray dog occupy park nayapalli child not play safely,Parks,synthetic
209,School zone near Aiginia has no speed limits enforced. Children are in danger. please take immediate action.,school zone aiginia no speed limit enforce child danger,Traffic,synthetic
210,Power supply fluctuates heavily near Nayapalli causing damage to electronic devices.,power supply fluctuate heavily nayapalli causing damage electronic device,Electricity,synthetic
211,Waste dumped near Aiginia flyover is attracting stray dogs and creating hazard.,waste dump aiginia flyover attract stray dog create hazard,Sanitation,synthetic
212,The traffic signal at Bhubaneswar Old Town crossroad has been dark since Monday. Manual control needed.,traffic signal bhubaneswar old town crossroad dark monday manual control need,Traffic,synthetic
213,The water meter in our building near Tamando is faulty and showing excess usage.,water meter building tamando faulty show excess usage,Water,synthetic
214,Garbage collection workers have not come to Patia again and again. Rats are appearing.,garbage collection worker not come patia rat appear,Sanitation,synthetic
215,The garbage van has not visited Unit-4 again and again. Waste is piling up on the road.,garbage van not visit unit waste pile road,Sanitation,synthetic
216,Traffic signal poles near Master Canteen Square are damaged and wires are hanging out.,traffic signal pole master canteen square damage wire hang,Traffic,synthetic
217,Water pipe near Master Canteen Square burst during road construction and has not been repaired.,water pipe master canteen square burst road construction not repair,Water,synthetic
218,Power supply in Cuttack goes off every night for over a week. We face a lot of issues.,power supply cuttack go night week face lot issue,Electricity,synthetic
219,The fountain in Saheed Nagar park has not been working repeatedly. It is a public attraction.,fountain saheed nagar park not work repeatedly public attraction,Parks,synthetic
220,The main water supply valve near Cuttack is stuck and causing low pressure issues.,main water supply valve cuttack stuck cause low pressure issue,Water,synthetic
221,The park near Acharya Vihar has not been maintained since last week. Grass is overgrown.,park acharya vihar not maintain week grass overgrow,Parks,synthetic
222,Dead animal carcass lying on the road near Puri for three days. Extremely unhygienic.,dead animal carcass lie road puri day extremely unhygienic,Sanitation,synthetic
223,The nullah near Unit-4 has not been desilted still not fixed. Flooding is certain this monsoon.,nullah unit not desilte not fix flooding certain monsoon,Sanitation,synthetic
